director,image,journalist_count,journalist_score,movie_rate,netizen_count,netizen_rate,opening_date,playing_time,scope,title
자코 아키후미,https://movie-phinf.pstatic.net/20220405_51/1649144698523czjrT_JPEG/movie_image.jpg?type=m99_141_2,3,5.67,전체 관람가,41,6.8,2022-05-05,59,"애니메이션,가족,코미디",극장판 엉덩이 탐정: 수플레 섬의 비밀
최영민,https://movie-phinf.pstatic.net/20220425_136/1650877572992bhbVe_JPEG/movie_image.jpg?type=m99_141_2,1,5.0,전체 관람가,11,10.0,2022-05-05,99,액션,액션동자
사토 유이치,https://movie-phinf.pstatic.net/20220303_167/1646294462531KRxju_JPEG/movie_image.jpg?type=m99_141_2,2,6.0,15세 관람가,2,7.0,2022-05-05,111,"판타지,스릴러",카사네 : 빼앗는 얼굴
샘 레이미,https://movie-phinf.pstatic.net/20220504_33/165164173504831gKe_JPEG/movie_image.jpg?type=m99_141_2,10,6.8,12세 관람가,10693,7.25,2022-05-04,126,"액션,판타지,모험",닥터 스트레인지: 대혼돈의 멀티버스
피에르 페리펠,https://movie-phinf.pstatic.net/20220405_291/1649125342962iXOg2_JPEG/movie_image.jpg?type=m99_141_2,3,6.67,전체 관람가,273,8.71,2022-05-04,100,"애니메이션,범죄,액션",배드 가이즈
에릭 케이즈스,https://movie-phinf.pstatic.net/20220407_249/1649308516049Jchoa_JPEG/movie_image.jpg?type=m99_141_2,1,5.0,전체 관람가,7,6.14,2022-05-04,77,"애니메이션,판타지,액션,모험",토르: 마법 검의 전설
하마구치 류스케,https://movie-phinf.pstatic.net/20220504_174/1651648935473f0HAe_JPEG/movie_image.jpg?type=m99_141_2,7,8.29,15세 관람가,121,8.21,2022-05-04,121,"드라마,멜로/로맨스",우연과 상상
수잔 랭동,https://movie-phinf.pstatic.net/20220412_141/1649755576189kGY7r_JPEG/movie_image.jpg?type=m99_141_2,4,6.75,12세 관람가,13,6.85,2022-05-04,77,드라마,스프링 블라썸
차상민,https://movie-phinf.pstatic.net/20220317_34/16475040751793Tm87_JPEG/movie_image.jpg?type=m99_141_2,0,0.0,15세 관람가,23,6.96,2022-05-01,112,코미디,영희
김경엽,https://movie-phinf.pstatic.net/20220401_129/1648796718706cwSAL_JPEG/movie_image.jpg?type=m99_141_2,1,4.0,15세 관람가,94,6.96,2022-04-28,88,코미디,부기나이트
김수정,https://movie-phinf.pstatic.net/20220405_158/164912069067864cif_JPEG/movie_image.jpg?type=m99_141_2,2,5.5,12세 관람가,13,6.85,2022-04-28,121,"드라마,멜로/로맨스",평평남녀
